City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
377,Areia Branca,BR,82.6,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
379,Taganak,PH,78.94,broken clouds,6.0833,118.3,Taganak
393,Daliao,PH,83.97,broken clouds,5.8611,124.9533,Joel L. Pagaran
394,Maiduguri,NG,79.16,few clouds,11.8464,13.1603,Kagel Mari Police Station
395,Muli,MV,82.96,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
396,Ranong,TH,75.13,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
397,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
404,Belmonte,BR,79.3,moderate rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
405,Santa Rosa,PH,86.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
406,Sao Filipe,CV,79.95,scattered clouds,14.8961,-24.4956,Hotel Xaguate
409,Juazeiro,BR,80.78,few clouds,-9.4117,-40.4986,JB Hotel
410,Abu Zabad,SD,78.73,clear sky,12.35,29.25,حامد محمد نور
418,Lahad Datu,MY,79.38,broken clouds,5.0268,118.327,The 27th House
419,Forbes,AU,77.92,scattered clouds,-33.3833,148.0167,Lake Forbes Motel
421,Kandrian,PG,84.76,overcast clouds,-6.2167,149.55,Kandrian Station
422,Luanda,AO,77.0,scattered clouds,-8.8368,13.2343,Hotel Fórum
423,Barra Do Garcas,BR,75.78,clear sky,-15.89,-52.2567,Hotel Pousada Tropical
426,Sorong,ID,81.93,light rain,-0.8833,131.25,waigo splash hotel
427,Mackay,AU,84.04,scattered clouds,-21.15,149.2,International Lodge Motel
429,Karaton,ID,82.96,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
433,Nouna,BF,84.22,clear sky,12.7333,-3.8667,Sabunyuma So
436,Axim,GH,78.22,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
437,Tuy Hoa,VN,75.97,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
438,Pasni,PK,77.14,clear sky,25.2631,63.471,Kashmiri Hotal
440,Lazaro Cardenas,MX,80.15,broken clouds,17.9583,-102.2,quinta antigua
442,Maningrida,AU,88.97,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
447,Port Pirie,AU,77.09,broken clouds,-33.1833,138.0167,John Pirie Motor Inn
463,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
464,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
465,Alyangula,AU,85.87,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
472,Tukrah,LY,75.99,broken clouds,32.5341,20.5791,Lagrota restaurant
475,Luganville,VU,82.78,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
476,Koumra,TD,75.49,broken clouds,8.9126,17.5539,Yamtoide house koumra
477,Kulhudhuffushi,MV,81.81,broken clouds,6.6221,73.07,Haajy Guest House 1
480,Manama,BH,76.98,clear sky,26.2154,50.5832,Al Safir Hotel
484,Villa Sandino,NI,81.77,broken clouds,12.0483,-84.9936,Salón Rossmary
486,Port Hedland,AU,86.05,few clouds,-20.3167,118.5667,The Esplanade Hotel
494,Florestopolis,BR,81.01,broken clouds,-22.8633,-51.3872,Rancho Caíque
496,Santa Maria,BR,78.1,broken clouds,-29.6842,-53.8069,Hotel Morotin
499,Road Town,VG,81.0,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
503,Jizan,SA,83.34,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
504,Wonthaggi,AU,79.2,overcast clouds,-38.6044,145.5913,Wonthaggi Caravans & Trailers
505,Pahrump,US,80.65,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
511,Tete,MZ,82.06,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
513,Bonthe,SL,79.09,light rain,7.5264,-12.505,Bonthe Holiday Village
515,Linguere,SN,84.09,few clouds,15.3953,-15.1193,AYO Casablanca
517,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
519,Kalmunai,LK,77.97,overcast clouds,7.4167,81.8167,VS Villa
521,Sibolga,ID,75.83,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
526,Sumenep,ID,83.82,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
533,Nuevo Progreso,MX,77.59,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
534,Villa Juarez,MX,80.24,scattered clouds,24.6536,-107.5411,Casa de la Abuela
537,Sao Miguel Do Guama,BR,78.58,overcast clouds,-1.6267,-47.4833,Hotel Rio Guamá
543,Sungairaya,ID,80.15,overcast clouds,0.7,108.9,Mess P.Milu
545,Nishihara,JP,76.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
546,Anastacio,BR,76.98,broken clouds,-20.4836,-55.8069,HOTEL ARARAS
558,West Bay,KY,80.67,broken clouds,19.3667,-81.4167,Calypso Cove
562,Kapoeta,SS,80.89,light rain,4.7717,33.5903,Eastgate Hotel
563,Yulara,AU,84.04,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
565,Alice Springs,AU,87.35,few clouds,-23.7,133.8833,Desert Palms Alice Springs
566,Sortova,PA,77.76,overcast clouds,8.55,-82.65,Taller hartmann
567,Kendari,ID,78.66,overcast clouds,-3.945,122.4989,Hotel Wixel
568,Bandarbeyla,SO,75.76,clear sky,9.4942,50.8122,JABIR HOTEL
575,Mutis,CO,78.3,broken clouds,6.2262,-77.4044,Paraiso Escondido
578,Noumea,NC,77.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
580,Dumai,ID,75.9,overcast clouds,1.6833,101.45,Grand Zuri Dumai
581,Ixtapa,MX,78.78,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
584,Porbandar,IN,77.95,broken clouds,21.6422,69.6093,Lords Inn Porbandar
588,Ughelli,NG,75.72,overcast clouds,5.4899,6.0074,Prestige Hotel
590,Mogadishu,SO,78.39,few clouds,2.0371,45.3438,Hotel Juba
