City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,cloudiness,wind Speed
175,Kungsbacka,SE,2021-10-28 00:16:00,57.4872,12.0761,56.75,95,100,14.0
176,Nouadhibou,MR,2021-10-28 00:16:00,20.931,-17.0347,67.98,77,25,14.97
177,Gasa,PS,2021-10-28 00:16:00,31.5,34.4667,66.9,66,1,8.41
178,Balkanabat,TM,2021-10-28 00:16:01,39.5108,54.3671,45.82,73,4,5.48
179,North Bend,US,2021-10-28 00:14:58,43.4065,-124.2243,65.91,91,90,8.05
180,Axim,GH,2021-10-28 00:17:02,4.8699,-2.2405,76.95,90,41,6.8
181,Panalingaan,PH,2021-10-28 00:17:03,8.7842,117.4231,81.95,78,97,3.15
182,San Carlos De Bariloche,AR,2021-10-28 00:17:03,-41.1456,-71.3082,58.75,31,0,11.5
183,Trincomalee,LK,2021-10-28 00:17:03,8.5711,81.2335,78.26,84,100,5.12
184,Udachnyy,RU,2021-10-28 00:17:04,66.4167,112.4,17.64,81,100,16.55
185,Jiuquan,CN,2021-10-28 00:17:04,39.7432,98.5174,39.97,46,45,5.03
186,Finspang,SE,2021-10-28 00:17:04,58.7058,15.7674,55.51,90,100,8.34
187,Luunja,EE,2021-10-28 00:17:05,58.3558,26.8808,48.54,69,90,19.57
188,Gidam,IN,2021-10-28 00:17:05,18.9833,81.4,67.42,83,86,3.11
189,Bilma,NE,2021-10-28 00:17:05,18.6853,12.9164,79.3,17,0,2.98
190,Moratuwa,LK,2021-10-28 00:17:06,6.773,79.8816,78.01,84,100,4.23
191,Geraldton,AU,2021-10-28 00:17:06,-28.7667,114.6,63.01,59,91,12.66
192,Sault Sainte Marie,CA,2021-10-28 00:17:06,46.5168,-84.3333,48.88,84,40,3.44
193,Barcelos,PT,2021-10-28 00:13:17,41.5388,-8.6151,59.92,66,11,3.02
194,Bima,ID,2021-10-28 00:17:07,-8.4667,118.7167,86.56,65,26,3.71
195,Richards Bay,ZA,2021-10-28 00:17:07,-28.783,32.0377,65.89,81,99,4.05
