City_ID,City,Country,Lat,Lng,Max Temp,Humidity,cloudiness,wind Speed,Current Description
257,Yashkul,RU,46.1711,45.3435,45.79,67,41,14.85,scattered clouds
258,Hamilton,US,39.1834,-84.5333,46.09,66,1,3.44,clear sky
259,Swidnik,PL,51.219,22.6962,42.69,100,75,13.8,broken clouds
260,Atbasar,KZ,51.8,68.3333,22.93,53,97,11.36,overcast clouds
261,Yeppoon,AU,-23.1333,150.7333,78.58,62,85,11.12,overcast clouds
262,Panjab,AF,34.388,67.0233,28.94,52,14,0.72,few clouds
263,Olafsvik,IS,64.8945,-23.7142,37.49,82,75,9.86,moderate rain
264,Lamu,KE,-2.2717,40.902,77.22,83,4,10.69,clear sky
265,Changji,CN,44.0167,87.3167,18.39,73,0,0.0,clear sky
266,San Quintin,MX,30.4833,-115.95,68.61,72,13,6.96,few clouds
267,Knoxville,US,35.9606,-83.9207,50.2,68,1,0.0,clear sky
268,Galveston,US,29.3669,-94.9669,63.18,62,0,8.25,clear sky
269,El Viejo,NI,12.6633,-87.1672,84.42,79,40,4.61,scattered clouds
270,Kodinsk,RU,58.6881,99.1844,17.73,85,100,10.85,overcast clouds
271,Kichmengskiy Gorodok,RU,59.9816,45.7854,48.49,91,100,14.14,overcast clouds
272,Lianzhou,CN,24.7811,112.3825,75.07,89,83,1.57,broken clouds
273,Krasnokholmskiy,RU,55.9873,55.0466,36.32,49,100,16.82,overcast clouds
274,Pulandian,CN,39.3953,121.9669,50.13,85,25,4.61,scattered clouds
275,Taguatinga,BR,-12.3857,-46.5711,70.92,90,80,2.53,broken clouds
276,Rundu,NA,-17.9333,19.7667,72.48,67,100,7.45,overcast clouds
277,Talnakh,RU,69.4865,88.3972,-9.17,98,96,1.36,overcast clouds
278,Emirdag,TR,39.0197,31.15,50.05,64,52,0.38,broken clouds
279,Dandong,CN,40.1292,124.3947,52.81,81,14,3.76,few clouds
280,Andijon,UZ,40.7821,72.3442,33.15,54,0,2.73,clear sky
281,Sumbe,AO,-11.2061,13.8437,74.68,92,98,1.48,light rain
282,Pandan,PH,14.0453,124.1694,82.94,79,85,5.79,overcast clouds
283,Cockburn Town,TC,21.4612,-71.1419,82.36,74,40,5.75,scattered clouds
284,Fortuna,US,40.5982,-124.1573,55.42,74,75,3.0,light rain
285,Ahuimanu,US,21.4447,-157.8378,87.51,67,90,10.36,light rain
286,Lebu,CL,-37.6167,-73.65,53.01,85,0,18.92,clear sky
287,Bambanglipuro,ID,-7.95,110.2833,80.76,78,86,1.88,overcast clouds
288,Maniitsoq,GL,65.4167,-52.9,24.4,56,100,9.17,overcast clouds
289,Samarai,PG,-10.6167,150.6667,84.24,70,18,15.77,few clouds
290,Mizoch,UA,50.4,26.15,41.25,77,100,7.49,overcast clouds
291,Souillac,MU,-20.5167,57.5167,75.58,88,40,6.91,scattered clouds
292,Banff,CA,51.1762,-115.5698,45.63,42,77,6.91,broken clouds
293,Cidreira,BR,-30.1811,-50.2056,68.74,90,86,12.91,overcast clouds
294,Berlevag,NO,70.8578,29.0864,36.59,98,100,23.33,light rain
295,Harper,LR,4.375,-7.7169,78.42,87,62,7.45,broken clouds
296,Abrau-Dyurso,RU,44.69,37.59,45.86,71,37,2.37,scattered clouds
297,Kargasok,RU,59.0556,80.8572,28.45,94,99,12.64,overcast clouds
298,Manzhouli,CN,49.6,117.4333,8.51,59,28,12.5,scattered clouds
299,Ostrovnoy,RU,68.0531,39.5131,35.87,98,100,5.75,overcast clouds
300,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.99,64,90,6.91,overcast clouds
301,Lewistown,US,40.5992,-77.5714,40.55,65,1,0.0,clear sky
302,Omsukchan,RU,62.5333,155.8,10.04,95,80,9.1,broken clouds
303,Salalah,OM,17.0151,54.0924,75.29,78,20,3.44,few clouds
304,Lompoc,US,34.6391,-120.4579,78.01,69,1,9.22,clear sky
305,Acapulco,MX,16.8634,-99.8901,82.22,74,90,6.91,overcast clouds
306,Camapua,BR,-19.5314,-54.0439,81.45,56,67,0.87,broken clouds
307,Nouadhibou,MR,20.931,-17.0347,71.58,68,4,17.27,clear sky
308,Saint-Pierre,RE,-21.3393,55.4781,71.29,64,0,5.75,clear sky
309,Hermiston,US,45.8404,-119.2895,55.2,71,90,9.22,overcast clouds
310,Aksarka,RU,66.5606,67.7975,17.35,96,99,6.44,overcast clouds
311,Carpinteria,US,34.3989,-119.5185,84.11,66,0,5.14,clear sky
312,Quatre Cocos,MU,-20.2078,57.7625,75.31,86,30,12.37,scattered clouds
313,Daru,PG,-9.0763,143.2092,84.38,72,45,9.69,scattered clouds
314,Halifax,CA,44.6453,-63.5724,41.05,78,73,1.01,broken clouds
315,Pyshma,RU,56.9523,63.2513,31.44,79,97,10.2,overcast clouds
316,Kavieng,PG,-2.5744,150.7967,84.94,70,90,14.03,overcast clouds
317,Huixtepec,MX,16.6536,-98.305,74.52,86,88,2.68,overcast clouds
318,Severnyy,RU,50.677,36.5532,51.84,93,75,11.18,mist
319,Port Hardy,CA,50.6996,-127.4199,42.98,87,75,8.05,light rain
320,Le Port,RE,-20.9373,55.2919,71.62,79,1,2.59,clear sky
321,Saint-Francois,FR,46.4154,3.9054,39.67,100,0,4.61,clear sky
322,Visby,SE,57.6409,18.296,47.86,87,90,17.27,overcast clouds
323,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,93,90,8.05,overcast clouds
324,Mount Gambier,AU,-37.8333,140.7667,67.91,64,90,11.5,light intensity shower rain
325,Sabha,LY,27.0377,14.4283,73.42,25,0,11.16,clear sky
326,Ballina,AU,-28.8667,153.5667,68.77,75,90,0.0,overcast clouds
327,Pyapon,MM,16.2833,95.6833,74.37,94,70,4.9,broken clouds
328,Ulladulla,AU,-35.35,150.4667,71.76,63,68,9.71,broken clouds
329,Varzea Da Palma,BR,-17.5981,-44.7308,78.42,54,35,1.66,scattered clouds
330,Khomeyn,IR,33.6423,50.0789,44.31,87,100,5.64,overcast clouds
331,Richards Bay,ZA,-28.783,32.0377,70.95,92,86,9.78,overcast clouds
332,Zaltan,LY,32.947,11.8665,73.0,82,100,8.43,overcast clouds
333,Lanxi,CN,29.2195,119.477,67.37,94,95,1.95,overcast clouds
334,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,72.41,95,99,4.41,overcast clouds
335,Bila,BA,43.7825,16.9253,51.24,94,100,5.73,light rain
336,Sinnamary,GF,5.3833,-52.95,78.71,88,100,10.16,light rain
337,Hasaki,JP,35.7333,140.8333,57.29,57,1,12.37,clear sky
338,Koslan,RU,63.4564,48.8989,40.71,94,100,11.95,overcast clouds
339,Nioro,GM,13.35,-15.75,78.53,65,31,6.62,scattered clouds
340,Imbituba,BR,-28.24,-48.6703,73.81,89,30,9.62,scattered clouds
341,Seymchan,RU,62.8833,152.4333,4.98,88,89,3.67,overcast clouds
342,Teguise,ES,29.0605,-13.564,64.62,56,40,17.27,scattered clouds
343,Ayna,PE,-12.65,-73.9167,79.3,88,100,0.98,overcast clouds
344,Pointe Michel,DM,15.25,-61.3833,75.49,73,78,11.88,broken clouds
345,Hare Bay,CA,48.8499,-54.0148,36.75,84,100,3.2,overcast clouds
346,Guiyang,CN,26.5833,106.7167,59.49,100,90,6.71,mist
347,Panormos,GR,35.4182,24.6909,69.12,56,35,2.68,scattered clouds
